Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Pergunta de revisão avançada #41: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #42: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #43: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #44: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #45: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #46: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #47: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #48: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #49: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #50: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #51: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #52: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #53: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #54: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #55: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #56: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #57: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #58: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #59: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #60: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #61: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #62: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #63: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #64: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #65: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #66: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #67: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #68: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #69: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #70: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #71: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #72: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #73: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #74: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #75: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #76: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #77: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #78: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #79: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #80: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #81: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #82: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #83: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #84: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #85: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #86: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #87: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #88: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #89: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #90: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #91: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #92: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #93: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #94: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #95: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #96: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #97: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
